,source,target,capacity,geo
127,286835446,8390726650,840000000,"LINESTRING (27.5299944 62.2413337, 27.1064736 62.5964514)"
128,286835446,2636358023,840000000,"LINESTRING (27.5299944 62.2413337, 26.8825597 62.6419554)"
129,286835446,2090571394,840000000,"LINESTRING (27.5299944 62.2413337, 27.6185236 62.8268329)"
130,286835446,9510316607,840000000,"LINESTRING (27.5299944 62.2413337, 27.1649823 62.2929372)"
131,286835446,1702699450,840000000,"LINESTRING (27.5299944 62.2413337, 26.500334 62.3216736)"
132,286835446,1628928956,840000000,"LINESTRING (27.5299944 62.2413337, 27.8036751 62.1645632)"
133,286835446,1568818115,840000000,"LINESTRING (27.5299944 62.2413337, 28.4889763 62.534066)"
134,286835446,1568817939,840000000,"LINESTRING (27.5299944 62.2413337, 28.5684898 62.4794477)"
135,286835446,667025222,840000000,"LINESTRING (27.5299944 62.2413337, 26.7813045 63.2056734)"
136,286835446,2104005937,840000000,"LINESTRING (27.5299944 62.2413337, 26.8376999 62.9764309)"
137,286835446,2405808249,840000000,"LINESTRING (27.5299944 62.2413337, 27.6382263 64.0703044)"
138,286835446,1638670944,840000000,"LINESTRING (27.5299944 62.2413337, 27.1641575 63.7536766)"
139,286835446,1802301445,840000000,"LINESTRING (27.5299944 62.2413337, 26.4038592 64.7487457)"
140,286835446,920091358,840000000,"LINESTRING (27.5299944 62.2413337, 24.9460436 63.9423915)"
141,286835446,1709364055,840000000,"LINESTRING (27.5299944 62.2413337, 24.5561378 64.0906912)"
142,286835446,1709364230,840000000,"LINESTRING (27.5299944 62.2413337, 24.4978678 64.1962926)"
143,286835446,3748249664,840000000,"LINESTRING (27.5299944 62.2413337, 24.7952659 64.2577724)"
144,286835446,1632040193,840000000,"LINESTRING (27.5299944 62.2413337, 25.3668244 64.1478642)"
145,286835446,1672840206,840000000,"LINESTRING (27.5299944 62.2413337, 25.5199431 64.820101)"
146,286835446,3961052124,840000000,"LINESTRING (27.5299944 62.2413337, 25.0581542 64.6783356)"
147,286835446,5547676002,840000000,"LINESTRING (27.5299944 62.2413337, 25.2281464 64.7507194)"
148,286835446,2573833142,840000000,"LINESTRING (27.5299944 62.2413337, 25.3770782 64.817708)"
149,286835446,1693143862,840000000,"LINESTRING (27.5299944 62.2413337, 25.4130397 64.926702)"
150,286835446,2297584568,840000000,"LINESTRING (27.5299944 62.2413337, 25.4961844 64.9077557)"
151,286835446,5260196220,840000000,"LINESTRING (27.5299944 62.2413337, 25.6930276 65.2676366)"
152,286835446,2613446799,840000000,"LINESTRING (27.5299944 62.2413337, 25.3354052 65.2208609)"
153,286835446,2261816756,840000000,"LINESTRING (27.5299944 62.2413337, 25.4121446 65.3359749)"
154,286835446,5263270759,840000000,"LINESTRING (27.5299944 62.2413337, 25.4122989 65.3358099)"
155,286835446,4447358451,840000000,"LINESTRING (27.5299944 62.2413337, 25.226927 65.6048194)"
156,286835446,369183840,840000000,"LINESTRING (27.5299944 62.2413337, 25.4742507 65.0261538)"
157,286835446,9422370488,840000000,"LINESTRING (27.5299944 62.2413337, 25.8206528 64.2957936)"
158,286835446,1782215673,840000000,"LINESTRING (27.5299944 62.2413337, 26.0161848 64.8204484)"
159,286835446,9315860509,840000000,"LINESTRING (27.5299944 62.2413337, 27.4877828 63.6771066)"
160,286835446,1564360771,840000000,"LINESTRING (27.5299944 62.2413337, 27.238835 63.5921457)"
161,286835446,1638670771,840000000,"LINESTRING (27.5299944 62.2413337, 27.1725441 63.7286876)"
162,286835446,1534367005,840000000,"LINESTRING (27.5299944 62.2413337, 27.4561866 63.3745935)"
163,286835446,1573357894,840000000,"LINESTRING (27.5299944 62.2413337, 28.2948984 62.0557403)"
164,286835446,6477443704,840000000,"LINESTRING (27.5299944 62.2413337, 27.9050132 61.8746794)"
165,288465276,667023388,231000000,"LINESTRING (26.3831471 62.935646, 26.3290905 63.1854722)"
166,288465276,6175259891,231000000,"LINESTRING (26.3831471 62.935646, 26.3577273 62.6786359)"
167,294854486,6761759544,462000000,"LINESTRING (21.5647571 63.0915294, 21.5013055 62.9457544)"
168,294854486,1147149342,462000000,"LINESTRING (21.5647571 63.0915294, 21.8597518 61.8768981)"
169,294854486,3577573808,462000000,"LINESTRING (21.5647571 63.0915294, 21.6140898 62.3071787)"
170,294854486,1148024410,462000000,"LINESTRING (21.5647571 63.0915294, 21.6540193 62.4950514)"
171,294854486,420444765,462000000,"LINESTRING (21.5647571 63.0915294, 22.7565055 63.690689)"
172,294854486,1355832213,462000000,"LINESTRING (21.5647571 63.0915294, 22.6321424 63.4951067)"
